datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-05,14.0,11.67,21.3,185.95,41.0,0.0,32.0,7.0
2014-01-12,29.33,12.68,37.9,190.7,88.0,5.0,21.0,7.2
2014-01-19,30.67,26.34,45.9,218.4,80.0,8.0,29.0,12.0
2014-01-26,34.0,32.37,31.5,179.6,80.0,8.0,23.0,10.0
2014-02-02,31.02,23.35,20.7,159.88,84.0,12.0,29.0,12.0
2014-02-09,22.65,29.72,53.3,226.8,98.0,7.0,31.0,6.0
2014-02-16,33.33,30.69,47.3,320.7,89.0,14.0,18.0,16.2
2014-02-23,39.01,34.25,44.2,232.7,99.0,5.0,35.0,7.0
2014-03-02,36.68,28.75,40.355,222.5,52.0,2.0,16.0,10.1
2014-03-09,25.02,21.11,31.8,202.375,48.0,4.0,16.0,9.2
2014-03-16,32.35,23.77,36.2,164.8,90.0,5.0,36.0,19.0
2014-03-23,39.36,23.72,26.1,202.8,36.0,4.0,27.0,23.6
2014-03-30,25.69,17.33,36.2,136.6,42.0,6.0,29.0,24.5
2014-04-06,19.68,22.05,36.4,153.7,31.0,7.0,27.0,20.0
2014-04-13,36.03,20.38,21.2,141.0,46.0,4.0,22.0,20.3
2014-04-20,27.36,19.38,35.15,134.2,59.0,1.0,24.0,20.0
2014-04-27,26.36,20.215,22.0,182.5,54.0,4.0,16.0,13.0
2014-05-04,22.02,27.16,23.9,176.6,49.0,6.0,24.0,13.9
2014-05-11,24.67,32.485,29.6,151.6,69.0,11.0,15.0,36.0
2014-05-18,22.38,26.4,35.2,154.0,56.0,2.0,42.0,18.5
2014-05-25,25.02,22.278,33.7,115.7,56.0,5.0,20.0,36.6
2014-06-01,17.71,22.08,25.1,143.38,69.0,3.0,19.0,28.1
2014-06-08,23.34,23.06,33.9,154.425,64.0,8.0,19.0,27.5
2014-06-15,29.03,17.4,23.6,95.3,87.0,8.0,20.0,36.8
2014-06-22,31.68,20.73,26.1,106.7,66.0,5.0,11.0,24.0
2014-06-29,21.02,27.5,37.3,156.8,96.0,1.0,6.0,18.0
2014-07-06,27.35,24.74,30.0,135.8,64.0,3.0,8.0,10.0
2014-07-13,26.01,22.38,34.7,122.8,83.0,7.0,27.0,16.2
2014-07-20,33.67,20.76,20.5,96.0,84.0,6.0,12.0,14.4
2014-07-27,28.01,28.77,33.1,116.2,77.0,2.0,8.0,16.0
2014-08-03,20.02,7.71,23.2,95.1,80.0,9.0,11.0,16.5
2014-08-10,28.36,19.74,28.4,123.6,83.0,8.0,3.0,16.9
2014-08-17,26.02,19.53,34.7,103.4,99.0,5.0,3.0,23.6
2014-08-24,36.36,25.225,20.5,111.2,92.0,7.0,14.0,11.3
2014-08-31,22.05,31.275,29.0,160.15,112.0,3.0,12.0,15.0
2014-09-07,29.7,29.369,23.6,113.72,109.0,5.0,9.0,18.6
2014-09-14,18.7,22.41,22.4,216.35,104.0,0.0,28.0,10.2
2014-09-21,18.02,22.915,28.7,227.1,69.0,3.0,44.0,8.0
2014-09-28,25.36,25.38,31.1,239.55,95.0,4.0,2.0,16.0
2014-10-05,32.35,26.456,30.6,272.04,73.0,3.0,81.0,14.0
2014-10-12,23.7,23.085,33.1,296.975,103.0,7.0,21.0,10.5
2014-10-19,23.115,30.6103125,28.3375,223.621875,96.0625,4.625,28.0,13.1875
2014-10-26,19.69,25.14,25.2,213.6,95.0,3.0,30.0,10.0
2014-11-02,25.67,14.82,34.1,203.8,112.5,4.0,39.0,7.0
2014-11-09,40.67,31.05,29.8,177.9,152.0,5.0,25.0,6.2
2014-11-16,31.67,24.34,31.3,177.1,110.0,4.0,22.0,10.2
2014-11-23,28.35,25.04,37.5,161.5,105.5,3.0,38.0,8.7
2014-11-30,31.06,18.09,39.6,161.5,96.0,7.0,20.0,18.1
2014-12-07,28.69,30.281,18.3,175.7,114.0,4.0,40.0,9.4
2014-12-14,25.02,22.02,30.4,221.58,109.0,7.0,21.0,3.0
2014-12-21,25.01,20.69,24.34,203.6,78.0,6.0,31.0,6.0
2014-12-28,36.18,32.79,27.784,282.7,154.0,4.0,54.0,12.0
2015-01-04,36.68,34.54,24.7,300.22,65.0,7.0,25.25,10.0
2015-01-11,19.34,37.311,32.9,234.4,98.0,7.0,39.0,10.0
2015-01-18,39.35,30.35,38.8,231.45,115.0,4.0,32.0,9.0
2015-01-25,29.69,14.538,32.2,246.55,128.0,3.0,58.0,8.0
2015-02-01,32.19,36.58,29.7,199.3,101.0,8.0,40.0,9.0
2015-02-08,20.34,31.329,31.6,195.25,74.0,1.0,36.0,11.0
2015-02-15,35.01,29.646,44.2,222.82,77.0,4.0,65.0,13.0
2015-02-22,21.67,32.782,20.63,283.812,34.0,2.0,69.0,14.0
2015-03-01,43.35,30.526,31.1,241.67,54.0,5.0,38.0,12.0
2015-03-08,41.68,25.777,23.7,245.35,39.0,1.0,17.0,10.0
2015-03-15,27.02,29.867,33.0,267.6,53.0,2.0,35.0,13.0
2015-03-22,42.0,27.35,24.3,254.4,55.0,2.0,58.0,6.0
2015-03-29,25.01,31.672,28.9,232.4,49.0,4.0,58.0,17.0
2015-04-05,35.01,23.807,42.1,227.87,42.0,3.0,15.0,21.0
2015-04-12,40.18,24.825,30.4,189.7,45.0,2.0,40.0,19.0
2015-04-19,41.65,22.868,32.0,224.3,42.0,0.0,19.0,26.0
2015-04-26,36.66,21.835,24.9,239.1,46.0,0.0,6.0,24.0
2015-05-03,29.34,21.013,23.94,196.8,40.0,2.0,20.0,41.7
2015-05-10,22.0,34.129,30.8,166.2,48.0,3.0,26.0,38.8
2015-05-17,35.0,31.083,39.5,198.35,34.0,0.0,12.0,36.7
2015-05-24,35.68,23.452,23.2,126.85,54.0,2.0,10.0,29.8
2015-05-31,50.33,24.047,32.5,196.1,44.0,3.0,51.0,38.5
2015-06-07,35.34,28.02,27.7,143.55,54.0,5.0,53.0,28.0
2015-06-14,28.34,24.99,30.5,167.476,55.0,3.0,26.0,27.6
2015-06-21,41.67,23.04,35.76,174.4,52.0,3.0,83.0,34.9
2015-06-28,39.84,29.31,41.5,172.987,29.0,1.0,18.0,28.0
2015-07-05,36.36,27.02,28.3,152.1,66.0,1.0,35.0,30.3
2015-07-12,30.51,26.38,24.2,198.25,52.0,0.0,21.0,40.5
2015-07-19,38.71,20.37,23.0,142.75,26.0,3.0,7.0,26.3
2015-07-26,36.35,23.34,27.8,171.85,44.0,2.0,7.0,25.0
2015-08-02,50.36,36.73,40.2,134.878,65.0,0.0,3.0,19.5
2015-08-09,33.83,22.65,31.7,168.2,42.0,4.0,11.0,17.7
2015-08-16,41.01,37.703,33.6,169.688,64.0,3.0,7.0,20.0
2015-08-23,41.17,24.746,29.0,194.0,65.0,5.0,10.0,18.0
2015-08-30,51.68,38.38,27.7,186.9,62.0,3.0,11.0,22.0
2015-09-06,39.35,41.22,25.3,180.15,66.5,3.0,22.0,21.0
2015-09-13,38.33,33.632,34.1,236.2,56.0,4.0,24.0,17.0
2015-09-20,38.67,27.551,23.9,189.1,56.5,0.0,17.0,18.0
2015-09-27,41.22,31.036,23.5,207.075,50.0,4.0,17.0,14.0
2015-10-04,44.65,30.079,22.0,245.662,41.0,0.0,50.0,10.0
2015-10-11,45.33,24.244,34.4,333.337,73.5,4.0,51.0,18.0
2015-10-18,42.66,40.093,35.9,423.174,41.5,1.0,32.0,16.0
2015-10-25,48.17,21.835,30.9,352.762,42.0,1.0,40.0,19.0
2015-11-01,29.98,28.993,35.6,377.4,59.0,2.0,33.0,12.0
2015-11-08,32.49,28.097,34.7,342.875,60.0,6.0,33.0,10.0
2015-11-15,36.97,38.11,42.4,249.3,52.0,4.0,70.0,7.0
2015-11-22,32.01,23.792,29.9,273.5,55.0,4.0,32.0,13.0
2015-11-29,31.65,28.419,28.3,253.6,45.0,3.0,19.0,11.0
2015-12-06,31.32,24.97,29.4,278.25,54.0,12.0,25.0,9.33
2015-12-13,41.51,36.286,40.2,234.887,58.0,3.0,72.0,11.1
2015-12-20,32.99,24.385,25.1,216.6,47.0,6.0,52.0,6.0
2015-12-27,31.98,26.858,26.5,330.062,75.0,5.0,50.0,11.3
2016-01-03,33.33,25.637,24.3,341.15,58.0,4.0,48.0,13.0
2016-01-10,41.65,25.136,41.3,342.2,48.0,4.0,35.0,9.0
2016-01-17,51.67,27.211,50.5,365.25,82.0,0.0,21.0,12.0
2016-01-24,27.98,33.375,39.7,320.5,65.0,9.0,46.0,17.0
2016-01-31,46.01,37.66,37.5,341.074,52.0,10.0,62.0,12.5
2016-02-07,51.66,38.957,34.6,321.824,39.0,5.0,37.0,10.0
2016-02-14,33.83,36.618,37.1,294.613,71.0,3.0,78.0,16.0
2016-02-21,38.67,23.442,24.6,272.95,52.0,7.0,60.0,12.0
2016-02-28,42.65,30.851,33.9,289.275,64.0,5.0,67.0,19.0
2016-03-06,38.16,38.082,33.8,298.8,55.0,4.0,28.0,19.0
2016-03-13,28.83,44.87,25.1,255.7,41.0,2.0,62.0,12.34
2016-03-20,42.64,48.752,32.9,244.662,67.0,3.0,81.0,26.0
2016-03-27,35.5,26.515,45.4,283.488,72.0,4.0,52.0,26.0
2016-04-03,38.18,27.436,30.2,270.45,41.0,0.0,74.0,44.4
2016-04-10,47.66,41.244,28.25,200.65,35.0,6.0,60.0,40.6
2016-04-17,27.66,32.917,31.5,255.225,80.33333333,3.0,50.0,39.9
2016-04-24,32.98,26.154,36.2,177.15,54.0,8.0,40.0,26.8
2016-05-01,38.64,33.805,36.75,209.112,109.6666667,1.0,25.0,26.2
2016-05-08,35.32,35.0,21.0,257.5,54.0,4.0,9.0,32.0
2016-05-15,34.34,31.64,33.75,220.9,56.0,1.0,35.0,20.5
2016-05-22,28.68,27.962,33.6,240.0,61.0,3.0,46.0,34.2
2016-05-29,59.68,19.906,34.6,228.35,78.0,10.0,21.0,40.4
2016-06-05,41.67,22.859,22.25,154.05,50.0,3.0,35.0,31.0
2016-06-12,55.99,26.003,25.0,228.962,58.0,3.0,36.0,38.2
2016-06-19,28.67,30.571,28.25,185.4,60.0,2.0,42.0,37.0
2016-06-26,34.35,25.572,32.65,163.038,71.0,0.0,22.0,25.6
2016-07-03,33.66,27.616,34.1,147.0,61.5,12.0,45.0,28.0
2016-07-10,41.34,41.462,27.05,152.0,64.0,5.0,15.0,24.3
2016-07-17,41.89833333,32.483,25.0,150.262,50.0,0.0,21.0,32.53
2016-07-24,39.65,25.947,38.3,147.6,42.0,0.0,10.0,22.0
2016-07-31,56.31,29.82,30.65,134.5,70.0,3.0,30.0,23.0
2016-08-07,53.99,25.306,32.4,162.6,111.5,1.0,62.0,20.3
2016-08-14,53.34,34.554,35.1,170.9166667,84.0,5.0,13.0,19.0
2016-08-21,43.98,23.31,27.0,162.75,45.0,4.0,17.0,22.5
2016-08-28,40.16,23.388,29.2,143.8166667,24.0,2.0,21.0,17.2
2016-09-04,47.66,23.918,25.5,172.8,53.0,0.0,16.0,20.3
2016-09-11,32.63,33.196,30.35,255.024,72.0,8.0,26.0,20.0
2016-09-18,37.66,34.522,20.9,225.15,93.0,0.0,37.0,12.1
2016-09-25,33.67,27.927,25.5,264.225,67.0,5.0,29.0,11.0
2016-10-02,65.33,26.178,34.35,382.338,44.0,5.0,38.0,17.2
2016-10-09,36.35,31.957,35.5,418.187,30.0,2.0,46.0,13.5
2016-10-16,41.65,29.267,38.2,347.35,134.8333333,3.0,59.0,13.3
2016-10-23,38.96,34.651,32.8,293.8166667,41.0,3.0,47.0,15.1
2016-10-30,42.81,30.655,39.75,346.0,68.0,3.0,29.0,9.0
2016-11-06,34.98666667,21.959,26.5,256.55,54.0,3.0,42.0,23.2
2016-11-13,46.33,33.97,37.3,260.8,67.16666667,4.0,36.0,10.6
2016-11-20,37.66,22.319,32.75,252.812,50.0,9.0,22.0,10.4
2016-11-27,37.02,32.399,30.95,243.124,45.0,9.0,48.0,12.0
2016-12-04,34.18,25.265,19.95,302.162,52.0,2.0,55.0,4.2
2016-12-11,41.85,23.892,37.75,275.424,37.0,4.0,71.0,11.0
2016-12-18,35.14,27.539,25.4,303.525,88.33333333,6.0,88.0,9.2
2016-12-25,26.0,29.634,19.1,315.2,28.0,3.0,31.0,6.5
2017-01-01,49.20375,42.70525,31.52916667,546.899,53.75,6.875,55.25,4.625
2017-01-08,33.6875,30.3825,33.54166667,343.35,62.91666667,3.958333333,47.65625,14.58333333
2017-01-15,48.74583333,34.27541667,60.125,368.4791667,120.0,5.416666667,31.66666667,12.16666667
2017-01-22,39.45416667,30.46041667,41.5,320.5833333,115.8333333,9.583333333,45.41666667,15.83333333
2017-01-29,43.97083333,42.04583333,44.70833333,298.505,105.8333333,8.333333333,55.41666667,12.70833333
2017-02-05,54.1575,42.41791667,40.70833333,265.8933333,79.33333333,9.166666667,44.33333333,14.43333333
2017-02-12,47.3225,29.09,33.55,146.2,39.0,3.0,27.0,9.0
2017-02-19,27.33,22.648,11.75,128.05,18.0,0.0,18.0,10.3
2017-02-26,32.67,32.354,32.2,170.7,49.875,2.0,36.0,8.2
2017-03-05,46.35,31.48,34.6,134.7,53.0,4.0,48.0,19.5
2017-03-12,37.51,27.736,26.2,171.1,31.0,7.0,20.0,17.0
2017-03-19,33.99,18.654,19.2,146.1,35.0,0.0,25.0,11.0
2017-03-26,36.83,29.719,18.85,122.0,36.0,0.0,31.0,32.1
2017-04-02,28.18,18.389,29.0,138.4,39.0,0.0,20.0,37.9
2017-04-09,32.66,21.023,23.4,119.1,34.0,3.0,47.0,22.5
2017-04-16,48.66,15.904,18.4,126.65,21.0,2.0,58.0,23.2
2017-04-23,32.3,26.812,27.0,130.7,38.0,2.0,17.875,16.0
2017-04-30,32.99,31.253,25.7,106.75,33.0,2.0,48.0,45.3
2017-05-07,25.34,27.396,19.05,92.85,30.0,0.0,44.0,25.1
2017-05-14,38.98,23.892,31.95,109.9,36.0,14.0,24.0,40.7
2017-05-21,31.67,31.409,11.2,150.6,32.0,3.0,27.0,39.0
2017-05-28,32.33,25.58,23.85,129.39,37.0,0.0,23.0,42.01
2017-06-04,31.01,20.991,24.15,137.4,38.0,9.0,44.0,26.0
2017-06-11,30.49,30.596,27.25,122.95,37.0,0.0,37.0,38.7
2017-06-18,21.66,30.099,14.25,96.45,40.0,3.0,40.0,44.37
2017-06-25,28.16,14.98,22.1,128.0,31.0,2.0,23.0,34.83
2017-07-02,34.68,22.198,27.75,95.5,41.0,0.0,39.0,31.0
2017-07-09,35.49,24.249,22.1,110.6,63.0,1.0,37.0,20.0
2017-07-16,27.67,36.152,14.15,111.0,41.0,5.0,25.0,13.0
2017-07-23,41.83,27.196,21.5,117.0,43.0,8.0,31.0,25.0
2017-07-30,29.635,21.789,12.2,100.75,52.0,1.0,7.0,13.1
2017-08-06,41.66,17.361,13.25,112.912,41.0,2.0,13.0,17.0
2017-08-13,20.01,26.372,22.0,103.788,66.0,5.0,12.0,10.5
2017-08-20,35.82,24.529,24.15,115.85,56.0,0.0,20.0,14.5
2017-08-27,40.65,27.929,12.55,170.75,60.0,2.0,23.0,12.0
2017-09-03,55.86,27.681,27.7,124.4,48.0,3.0,16.0,14.1
2017-09-10,38.17,32.36,24.8,182.7,44.0,1.0,8.0,21.5
2017-09-17,27.0,24.063,24.65,152.95,73.0,3.0,30.0,18.4
2017-09-24,39.98,30.489,11.1,219.75,48.0,7.0,19.0,18.0
2017-10-01,20.67,27.098,17.6,323.05,42.0,13.0,98.0,4.0
2017-10-08,32.66,22.364,23.5,305.15,48.0,4.0,49.0,12.0
2017-10-15,33.67,17.809,14.5,222.6,41.0,3.0,52.0,13.5
2017-10-22,29.5,22.792,23.0,268.9,73.0,5.0,44.0,10.0
2017-10-29,31.98,14.858,30.4,244.8,48.0,2.0,73.0,12.5
2017-11-05,29.5,31.459,21.05,221.75,35.0,3.0,35.0,12.2
2017-11-12,40.52,25.356,27.45,184.2,44.0,3.0,51.0,8.5
2017-11-19,35.32,28.181,22.9,191.1,40.0,3.0,69.0,8.9
2017-11-26,45.99,31.004,20.5,203.624,64.0,3.0,21.0,7.0
2017-12-03,38.34,26.156,27.55,218.825,35.0,3.0,40.0,17.5
2017-12-10,27.01,20.066,29.5,215.6,50.0,1.0,64.0,13.0
2017-12-17,38.51,28.746,24.4,240.0,53.0,2.0,34.0,12.0
2017-12-24,24.33,21.46,22.6,168.7,38.0,0.0,32.0,5.6
2017-12-31,50.17,34.038,29.65,302.08,68.0,3.0,63.0,11.0
2018-01-07,28.33,17.311,11.45,230.2,31.0,0.0,39.0,16.0
2018-01-14,34.48,30.345,28.1,255.525,52.0,6.0,44.0,6.0
2018-01-21,36.65,19.624,22.5,226.8,49.0,2.0,75.0,9.5
2018-01-28,25.83,28.967,27.85,306.5,64.0,0.0,47.0,13.0
2018-02-04,26.98,38.715,26.55,318.1,64.0,3.0,34.0,17.4
2018-02-11,42.18,28.725,31.6,366.95,76.0,0.0,71.25,6.66
2018-02-18,31.51,43.618,28.7,338.562,62.0,1.0,48.0,6.0
2018-02-25,29.35,29.305,28.55,229.1,49.0,0.0,70.0,11.0
2018-03-04,19.33,20.772,33.2,256.549,115.0,16.0,68.0,14.5
2018-03-11,36.65,29.928,33.75,223.9,91.0,17.0,68.0,16.4
2018-03-18,31.33,21.538,19.65,207.8,77.0,2.0,61.0,24.0
2018-03-25,28.01,20.736,25.9,241.112,50.0,3.0,58.0,17.5
2018-04-01,43.0,27.77,20.3,224.724,117.0,16.0,51.0,21.1
2018-04-08,38.85,23.301,22.9,209.525,83.0,7.0,60.0,36.5
2018-04-15,38.83,22.308,23.5,175.7,64.0,3.0,52.0,53.5
2018-04-22,29.84,26.671,10.15,211.025,51.0,0.0,28.0,38.7
2018-04-29,50.67,25.443,25.05,155.912,60.0,3.0,66.0,56.4
2018-05-06,29.01,28.895,18.25,136.737,53.0,0.0,26.0,65.0
2018-05-13,53.82,24.282,25.15,160.8,66.0,4.0,31.0,51.0
2018-05-20,27.69,24.286,17.0,156.8,59.0,7.0,47.0,39.4
2018-05-27,31.16,20.346,24.15,135.786,60.0,2.0,31.0,37.0
2018-06-03,49.17,20.385,16.85,143.05,59.0,4.0,45.0,41.64
2018-06-10,30.32,26.023,17.45,138.45,61.0,6.0,23.0,24.4
2018-06-17,31.52,31.195,20.6,124.569,57.0,0.0,16.0,30.4
2018-06-24,27.51,29.299,20.75,143.062,45.0,3.0,29.0,32.6
2018-07-01,28.5,23.39,20.0,125.862,66.0,5.0,31.0,23.4
2018-07-08,30.99,33.31,21.75,136.45,78.0,3.0,41.0,33.5
2018-07-15,33.67,31.353,22.65,189.4,62.0,9.0,11.0,23.4
2018-07-22,33.66,32.057,16.3,165.6,65.0,2.0,24.0,29.0
2018-07-29,39.53,22.07,17.2,126.9,57.0,3.0,4.0,25.3
2018-08-05,26.34,20.936,18.3,106.0,58.0,8.0,9.0,29.3
2018-08-12,38.65,27.817,29.0,147.788,66.0,2.0,13.0,23.0
2018-08-19,31.32,33.509,16.4,169.85,56.0,7.0,28.0,20.0
2018-08-26,35.34,30.097,18.55,223.1,44.0,2.0,79.0,24.8
2018-09-02,27.7,17.799,19.5,165.1,54.0,4.0,36.0,17.0
2018-09-09,34.16,20.522,17.6,223.2,63.0,0.0,43.0,21.7
2018-09-16,40.16,20.918,19.25,253.55,71.0,6.0,42.0,17.4
2018-09-23,33.34,32.186,17.2,222.162,64.0,3.0,47.0,28.0
2018-09-30,36.84,35.993,27.25,320.35,54.0,2.0,67.0,17.0
2018-10-07,30.52,31.639,15.8,262.95,60.0,3.0,63.0,9.1
2018-10-14,32.66,28.57,20.65,239.5,87.0,7.0,56.0,22.0
2018-10-21,32.85,27.164,13.1,241.0,50.0,9.0,67.0,25.0
2018-10-28,32.0,30.677,20.15,300.725,71.0,6.0,116.0,14.8
2018-11-04,46.65,21.431,15.55,240.1,42.2,3.0,46.0,12.3
2018-11-11,39.99,19.789,34.55,255.85,70.0,5.0,93.0,8.9
2018-11-18,37.34,26.113,28.0,236.1,63.0,5.0,100.0,7.4
2018-11-25,43.33,29.494,23.4,201.0,54.0,6.0,67.0,11.3
2018-12-02,31.83,34.568,19.05,253.9,55.0,6.0,70.0,24.5
2018-12-09,23.49,21.509,15.7,222.6,60.0,0.0,56.0,9.0
2018-12-16,23.34,21.913,19.7,249.7,51.0,5.0,98.0,10.8
2018-12-23,37.68,17.239,13.8,240.6,53.0,9.0,58.0,9.0
2018-12-30,45.03,33.145,18.3,349.85,67.0,10.0,96.0,10.3
2019-01-06,41.0,31.263,23.55,289.65,51.0,2.0,54.0,11.0
2019-01-13,35.66,28.404,20.2,354.8,79.2,6.0,50.0,6.0
2019-01-20,51.19,52.069,27.95,384.05,69.0,3.0,121.0,13.0
2019-01-27,38.35,53.243,22.5,478.3,69.0,9.0,93.0,9.0
2019-02-03,52.18,53.571,30.65,348.562,64.0,5.0,131.0,13.7
2019-02-10,32.35,47.251,28.7,297.45,50.0,4.0,62.0,15.7
2019-02-17,35.01,36.772,31.8,249.912,78.4,0.0,35.0,16.6
2019-02-24,22.35,24.635,16.4,204.0,71.0,3.0,31.0,13.3
2019-03-03,26.68,18.414,20.85,187.8,49.0,6.0,57.0,23.9
2019-03-10,30.51,16.569,21.7,231.9,72.0,5.0,26.0,32.6
2019-03-17,43.51,22.953,20.2,251.45,66.0,5.0,88.0,32.0
2019-03-24,35.99,20.661,13.95,196.6,68.4,2.0,74.0,48.0
2019-03-31,31.17,43.774,20.0,172.9,69.0,4.0,53.0,49.5
2019-04-07,36.19,25.685,26.5,173.35,62.0,1.0,51.0,57.6
2019-04-14,30.33,28.165,14.5,125.5,72.4,4.0,42.0,40.5
2019-04-21,29.84,24.027,14.55,117.9,80.0,9.0,36.0,33.2
2019-04-28,57.7,14.514,21.95,181.3,67.0,6.0,62.0,36.4
2019-05-05,31.36,27.413,28.55,157.6,52.0,7.0,64.0,45.4
2019-05-12,36.35,19.968,22.2,149.1,79.0,8.0,123.0,24.0
2019-05-19,40.0,18.023,23.65,160.0,68.0,5.0,61.29166667,23.4
2019-05-26,42.17,28.925,24.35,194.4,49.8,5.0,65.0,34.0
2019-06-02,32.49,14.703,25.0,141.462,40.0,4.0,27.0,28.0
2019-06-09,37.67,16.537,28.8,157.6,52.0,7.0,45.0,28.1
2019-06-16,37.2,23.259,24.75,123.6,46.0,1.0,23.0,57.0
2019-06-23,35.66,27.388,20.5,148.5,49.0,10.0,32.0,35.94
2019-06-30,34.01,30.443,20.1,130.9,41.0,6.0,28.0,27.0
2019-07-07,34.65,20.777,19.0,132.05,47.0,1.0,17.0,28.8
2019-07-14,44.0,31.319,28.05,149.6,53.6,8.0,15.0,21.0
2019-07-21,47.33,18.649,17.45,149.2,55.0,2.0,15.0,28.0
2019-07-28,36.52,19.439,19.3,124.375,70.0,5.0,30.0,18.4
2019-08-04,44.01,23.3,21.3,156.45,54.0,11.0,48.0,19.7
2019-08-11,40.99,19.219,21.3,86.25,57.0,8.0,66.0,20.0
2019-08-18,45.18,19.109,13.55,125.0,53.0,2.0,35.0,23.0
2019-08-25,41.87,27.516,17.05,115.45,61.0,6.0,24.0,20.5
2019-09-01,30.36,16.842,25.0,117.4,45.2,4.0,15.0,27.1
2019-09-08,40.71,26.767,15.75,154.755,51.0,6.0,15.0,28.5
2019-09-15,35.51,30.977,19.65,178.375,67.2,5.0,30.0,30.5
2019-09-22,46.84,25.396,24.4,248.25,31.2,3.0,26.0,21.0
2019-09-29,34.01,22.498,26.6,336.7,61.2,1.0,40.41666667,23.1
2019-10-06,38.7,32.502,19.25,249.45,69.0,5.0,30.0,12.13
2019-10-13,7.67,6.237,3.5,95.1,26.0,2.0,12.0,1.0
