From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2023-02-27 18:00:00,2023-02-27 19:00:00,39.43,110.03,24.47,68.01,56.07,1.07,1.31,43.64
2023-02-27 19:00:00,2023-02-27 20:00:00,57.07,135.78,10.62,57.01,38.96,2.11,1.85,30.75
2023-02-27 20:00:00,2023-02-27 21:00:00,57.38,160.75,41.29,70.66,60.41,4.82,2.01,15.21
2023-02-27 21:00:00,2023-02-27 22:00:00,59.22,153.72,6.0,58.2,35.84,3.97,1.27,22.92
2023-02-27 22:00:00,2023-02-27 23:00:00,60.65,153.35,1.73,41.88,23.68,2.88,0.79,33.6
2023-02-27 23:00:00,2023-02-28 00:00:00,76.95,202.3,3.29,34.42,20.98,3.68,0.88,33.9
2023-02-28 00:00:00,2023-02-28 01:00:00,89.35,163.15,14.35,75.34,51.75,15.96,1.57,9.13
2023-02-28 01:00:00,2023-02-28 02:00:00,110.03,220.97,16.2,65.22,47.86,39.22,2.9,8.85
2023-02-28 02:00:00,2023-02-28 03:00:00,125.18,277.17,8.76,54.19,35.95,35.99,3.16,9.54
2023-02-28 03:00:00,2023-02-28 04:00:00,127.38,248.88,5.41,41.65,26.55,25.66,2.82,8.11
2023-02-28 04:00:00,2023-02-28 05:00:00,122.47,211.53,5.84,43.62,27.95,27.03,2.77,9.03
2023-02-28 05:00:00,2023-02-28 06:00:00,123.75,220.1,4.79,40.19,25.26,15.45,2.11,7.75
2023-02-28 06:00:00,2023-02-28 07:00:00,140.5,307.1,11.79,42.73,32.32,10.54,2.06,9.46
2023-02-28 07:00:00,2023-02-28 08:00:00,195.35,573.03,16.08,64.23,47.24,39.16,3.81,21.27
2023-02-28 08:00:00,2023-02-28 09:00:00,271.23,726.95,4.82,72.06,42.25,109.31,6.91,74.18
2023-02-28 09:00:00,2023-02-28 10:00:00,308.9,526.45,2.17,31.27,18.4,54.98,1.66,89.41
2023-02-28 10:00:00,2023-02-28 11:00:00,169.68,330.58,1.88,20.12,12.23,42.82,0.88,104.93
2023-02-28 11:00:00,2023-02-28 12:00:00,106.55,192.78,0.67,16.76,9.46,40.62,1.64,154.55
2023-02-28 12:00:00,2023-02-28 13:00:00,107.62,174.77,1.48,22.43,13.12,25.98,1.33,140.47
2023-02-28 13:00:00,2023-02-28 14:00:00,86.85,183.9,1.85,17.87,11.01,12.22,1.04,106.79
2023-02-28 14:00:00,2023-02-28 15:00:00,60.08,132.17,17.8,67.08,50.15,11.29,1.8,97.06
2023-02-28 15:00:00,2023-02-28 16:00:00,52.5,141.02,3.68,16.91,11.98,8.16,1.34,108.26
2023-02-28 16:00:00,2023-02-28 17:00:00,47.1,197.23,3.69,23.65,15.58,8.86,1.63,92.48
2023-02-28 17:00:00,2023-02-28 18:00:00,54.1,183.65,12.3,71.39,47.98,11.16,2.02,42.61
2023-02-28 18:00:00,2023-02-28 19:00:00,107.3,386.95,39.95,48.03,58.03,10.69,2.92,31.58
2023-02-28 19:00:00,2023-02-28 20:00:00,169.4,526.25,12.84,60.5,42.62,10.57,2.18,25.85
2023-02-28 20:00:00,2023-02-28 21:00:00,138.8,374.0,4.53,44.81,27.53,7.3,1.52,30.78
2023-02-28 21:00:00,2023-02-28 22:00:00,,,,,,,,
2023-02-28 22:00:00,2023-02-28 23:00:00,,,,,,,,
2023-02-28 23:00:00,2023-03-01 00:00:00,,,,,,,,
2023-03-01 00:00:00,2023-03-01 01:00:00,,,,,,,,
2023-03-01 01:00:00,2023-03-01 02:00:00,,,,,,,,
2023-03-01 02:00:00,2023-03-01 03:00:00,,,,,,,,
2023-03-01 03:00:00,2023-03-01 04:00:00,,,,,,,,
2023-03-01 04:00:00,2023-03-01 05:00:00,,,,,,,,
2023-03-01 05:00:00,2023-03-01 06:00:00,,,,,,,,
2023-03-01 06:00:00,2023-03-01 07:00:00,,,,,,,,
2023-03-01 07:00:00,2023-03-01 08:00:00,,,,,,,,
2023-03-01 08:00:00,2023-03-01 09:00:00,,,,,,,,
2023-03-01 09:00:00,2023-03-01 10:00:00,,,,,,,,
2023-03-01 10:00:00,2023-03-01 11:00:00,,,,,,,,
2023-03-01 11:00:00,2023-03-01 12:00:00,,,1.81,9.19,6.36,15.04,0.15,132.11
2023-03-01 12:00:00,2023-03-01 13:00:00,104.7,177.8,1.7,15.84,9.81,21.46,0.64,169.81
2023-03-01 13:00:00,2023-03-01 14:00:00,101.62,174.65,1.78,22.29,13.3,16.68,0.65,150.58
2023-03-01 14:00:00,2023-03-01 15:00:00,83.45,146.52,1.29,8.98,5.83,3.77,0.06,119.99
2023-03-01 15:00:00,2023-03-01 16:00:00,53.38,91.2,1.41,11.53,7.28,2.62,0.39,97.53
2023-03-01 16:00:00,2023-03-01 17:00:00,43.15,90.07,4.19,23.61,15.97,5.15,1.26,84.74
2023-03-01 17:00:00,2023-03-01 18:00:00,42.77,89.0,14.57,50.55,38.73,6.2,2.15,62.55
2023-03-01 18:00:00,2023-03-01 19:00:00,66.1,223.8,22.5,61.13,50.8,1.91,2.04,23.35
2023-03-01 19:00:00,2023-03-01 20:00:00,130.5,520.72,49.5,67.1,75.94,4.51,2.67,14.91
2023-03-01 20:00:00,2023-03-01 21:00:00,136.55,382.93,25.73,77.45,61.33,2.72,1.53,9.14
2023-03-01 21:00:00,2023-03-01 22:00:00,97.27,241.85,15.23,61.89,45.3,1.78,1.07,3.71
2023-03-01 22:00:00,2023-03-01 23:00:00,78.67,221.7,5.3,43.27,27.32,0.91,0.92,12.58
2023-03-01 23:00:00,2023-03-02 00:00:00,58.6,132.35,0.62,16.98,9.54,,0.01,39.3
2023-03-02 00:00:00,2023-03-02 01:00:00,47.7,91.15,1.18,33.67,18.87,0.19,0.34,13.21
2023-03-02 01:00:00,2023-03-02 02:00:00,52.72,103.5,3.32,36.45,22.09,,0.83,10.32
2023-03-02 02:00:00,2023-03-02 03:00:00,77.35,130.28,4.96,35.05,22.68,1.3,0.79,3.58
2023-03-02 03:00:00,2023-03-02 04:00:00,76.68,132.5,2.4,34.51,20.3,8.34,0.79,5.69
2023-03-02 04:00:00,2023-03-02 05:00:00,92.58,154.38,6.09,33.76,22.91,4.88,0.86,1.84
2023-03-02 05:00:00,2023-03-02 06:00:00,88.55,159.33,4.19,34.73,21.88,4.16,0.99,7.38
2023-03-02 06:00:00,2023-03-02 07:00:00,108.9,263.38,9.6,38.68,28.38,13.03,1.64,5.04
2023-03-02 07:00:00,2023-03-02 08:00:00,174.05,488.88,11.93,57.77,40.42,58.48,4.15,21.24
2023-03-02 08:00:00,2023-03-02 09:00:00,195.0,372.82,4.79,43.45,27.0,56.66,3.81,63.64
2023-03-02 09:00:00,2023-03-02 10:00:00,179.82,294.85,1.6,16.02,9.82,18.3,1.31,90.16
2023-03-02 10:00:00,2023-03-02 11:00:00,106.9,189.1,1.57,29.13,16.77,5.03,0.5,97.44
2023-03-02 11:00:00,2023-03-02 12:00:00,74.42,137.88,1.95,10.44,7.14,5.05,0.72,112.56
2023-03-02 12:00:00,2023-03-02 13:00:00,65.25,124.8,1.51,8.0,5.48,0.85,0.02,98.33
2023-03-02 13:00:00,2023-03-02 14:00:00,50.57,97.4,2.83,14.93,10.24,0.42,0.04,92.37
2023-03-02 14:00:00,2023-03-02 15:00:00,44.28,89.12,4.13,13.45,10.51,1.33,0.36,83.21
2023-03-02 15:00:00,2023-03-02 16:00:00,38.27,108.15,6.21,22.27,16.89,0.73,0.25,96.78
2023-03-02 16:00:00,2023-03-02 17:00:00,40.3,134.05,2.74,15.1,10.26,,0.26,79.68
2023-03-02 17:00:00,2023-03-02 18:00:00,37.08,110.97,7.77,33.37,24.07,2.14,1.12,58.05
2023-03-02 18:00:00,2023-03-02 19:00:00,40.2,109.35,37.91,65.23,65.52,1.0,2.06,22.45
2023-03-02 19:00:00,2023-03-02 20:00:00,55.2,157.12,60.24,54.34,77.88,3.32,2.42,9.15
2023-03-02 20:00:00,2023-03-02 21:00:00,63.07,161.78,24.79,46.38,44.83,2.17,1.48,20.14
2023-03-02 21:00:00,2023-03-02 22:00:00,71.12,153.27,1.7,13.65,8.64,,0.19,61.98
2023-03-02 22:00:00,2023-03-02 23:00:00,49.58,93.45,1.75,24.01,14.2,,0.84,45.38
2023-03-02 23:00:00,2023-03-03 00:00:00,57.08,102.57,1.08,20.72,11.9,0.13,0.97,44.36
2023-03-03 00:00:00,2023-03-03 01:00:00,68.0,112.68,1.03,25.56,14.43,3.46,0.73,19.9
2023-03-03 01:00:00,2023-03-03 02:00:00,59.17,100.12,0.92,25.26,14.19,6.7,1.01,15.41
2023-03-03 02:00:00,2023-03-03 03:00:00,67.47,103.17,1.22,25.98,14.82,9.06,1.5,6.61
2023-03-03 03:00:00,2023-03-03 04:00:00,81.1,127.58,4.0,40.84,24.98,31.3,4.72,6.75
2023-03-03 04:00:00,2023-03-03 05:00:00,103.68,168.72,1.75,27.66,16.13,22.72,2.3,13.96
2023-03-03 05:00:00,2023-03-03 06:00:00,84.47,139.65,2.44,22.67,14.04,10.57,0.87,24.79
2023-03-03 06:00:00,2023-03-03 07:00:00,89.4,208.85,5.4,31.02,20.9,5.8,1.35,9.52
2023-03-03 07:00:00,2023-03-03 08:00:00,150.78,453.83,6.6,46.36,30.02,16.2,2.23,27.51
2023-03-03 08:00:00,2023-03-03 09:00:00,216.85,448.25,4.9,81.39,47.27,64.16,6.59,76.33
2023-03-03 09:00:00,2023-03-03 10:00:00,293.5,457.5,2.07,42.51,24.29,25.61,2.89,88.34
2023-03-03 10:00:00,2023-03-03 11:00:00,163.67,264.18,1.44,13.88,8.55,9.93,0.95,94.02
2023-03-03 11:00:00,2023-03-03 12:00:00,89.9,156.25,2.17,11.99,8.14,2.39,0.24,84.13
2023-03-03 12:00:00,2023-03-03 13:00:00,51.67,91.02,2.43,10.31,7.46,0.2,0.14,77.3
2023-03-03 13:00:00,2023-03-03 14:00:00,34.3,86.38,2.38,12.19,8.41,,0.0,73.47
2023-03-03 14:00:00,2023-03-03 15:00:00,29.2,94.33,1.83,6.04,4.71,,0.0,84.11
2023-03-03 15:00:00,2023-03-03 16:00:00,30.55,109.12,1.99,8.71,6.25,0.35,0.0,87.7
2023-03-03 16:00:00,2023-03-03 17:00:00,33.88,96.62,1.75,11.2,7.38,2.12,0.41,81.41
2023-03-03 17:00:00,2023-03-03 18:00:00,33.5,88.4,5.47,18.8,14.45,4.58,1.34,71.01
2023-03-03 18:00:00,2023-03-03 19:00:00,44.25,107.6,22.31,72.92,56.92,3.74,2.71,27.3
2023-03-03 19:00:00,2023-03-03 20:00:00,60.6,141.22,16.32,50.66,39.96,2.92,1.76,29.05
2023-03-03 20:00:00,2023-03-03 21:00:00,59.33,133.62,14.85,67.14,47.78,1.91,2.09,13.38
2023-03-03 21:00:00,2023-03-03 22:00:00,51.25,120.25,2.88,31.33,19.01,1.11,1.04,42.95
2023-03-03 22:00:00,2023-03-03 23:00:00,45.93,106.7,4.6,58.13,34.66,3.1,1.03,15.89
2023-03-03 23:00:00,2023-03-04 00:00:00,55.45,116.83,1.98,48.1,27.2,33.53,3.51,14.62
2023-03-04 00:00:00,2023-03-04 01:00:00,96.95,175.0,1.87,51.49,28.91,45.78,4.35,14.75
2023-03-04 01:00:00,2023-03-04 02:00:00,114.38,198.0,1.07,29.41,16.52,24.55,2.93,20.41
2023-03-04 02:00:00,2023-03-04 03:00:00,96.33,161.85,0.72,13.96,8.01,11.35,1.06,43.37
2023-03-04 03:00:00,2023-03-04 04:00:00,66.65,106.03,0.75,12.06,7.02,10.01,0.54,44.93
2023-03-04 04:00:00,2023-03-04 05:00:00,55.78,91.75,0.7,10.59,6.2,8.48,0.56,47.7
2023-03-04 05:00:00,2023-03-04 06:00:00,58.75,98.55,1.17,31.5,17.71,15.0,1.63,25.8
2023-03-04 06:00:00,2023-03-04 07:00:00,89.05,143.38,5.73,46.97,29.65,51.0,4.87,8.96
2023-03-04 07:00:00,2023-03-04 08:00:00,153.27,272.17,3.31,28.24,17.72,27.87,2.36,40.96
2023-03-04 08:00:00,2023-03-04 09:00:00,141.93,348.13,2.97,22.42,14.34,17.18,1.95,63.69
2023-03-04 09:00:00,2023-03-04 10:00:00,110.18,247.37,1.9,12.48,8.18,6.01,0.46,64.85
2023-03-04 10:00:00,2023-03-04 11:00:00,59.7,253.52,2.2,10.02,7.12,0.95,0.26,69.66
2023-03-04 11:00:00,2023-03-04 12:00:00,42.02,149.8,2.33,6.38,5.29,,0.21,78.88
2023-03-04 12:00:00,2023-03-04 13:00:00,38.78,150.03,2.77,10.45,7.81,,0.23,82.14
2023-03-04 13:00:00,2023-03-04 14:00:00,40.5,175.4,2.2,8.73,6.43,,0.27,81.31
2023-03-04 14:00:00,2023-03-04 15:00:00,35.28,146.83,2.33,7.63,5.96,2.34,1.08,78.67
2023-03-04 15:00:00,2023-03-04 16:00:00,36.62,124.3,4.19,9.29,8.35,3.83,1.5,90.99
2023-03-04 16:00:00,2023-03-04 17:00:00,37.55,106.3,1.99,11.08,7.51,0.68,0.71,87.29
2023-03-04 17:00:00,2023-03-04 18:00:00,33.82,105.6,3.66,31.95,19.97,,0.9,72.56
2023-03-04 18:00:00,2023-03-04 19:00:00,42.2,108.57,4.7,30.33,19.95,1.02,1.19,57.96
2023-03-04 19:00:00,2023-03-04 20:00:00,59.62,131.7,8.87,51.79,34.75,1.36,1.7,35.62
2023-03-04 20:00:00,2023-03-04 21:00:00,61.08,130.62,9.71,68.79,44.49,0.03,2.1,11.53
2023-03-04 21:00:00,2023-03-04 22:00:00,57.92,123.67,3.98,36.22,22.5,0.78,0.97,38.65
2023-03-04 22:00:00,2023-03-04 23:00:00,50.7,102.95,2.15,25.02,15.06,0.29,0.7,48.49
2023-03-04 23:00:00,2023-03-05 00:00:00,45.42,86.47,0.81,7.59,4.7,,0.22,70.82
2023-03-05 00:00:00,2023-03-05 01:00:00,42.7,74.48,0.58,9.06,5.29,,0.29,63.4
2023-03-05 01:00:00,2023-03-05 02:00:00,39.3,75.3,0.55,10.58,6.07,,0.34,47.48
2023-03-05 02:00:00,2023-03-05 03:00:00,41.42,76.3,0.68,9.32,5.5,0.31,0.34,45.12
2023-03-05 03:00:00,2023-03-05 04:00:00,44.2,75.28,0.91,15.5,8.98,0.32,0.6,32.55
2023-03-05 04:00:00,2023-03-05 05:00:00,47.0,79.8,0.5,11.95,6.77,0.1,0.57,22.58
2023-03-05 05:00:00,2023-03-05 06:00:00,48.9,82.65,1.13,17.35,10.15,0.07,0.69,16.42
2023-03-05 06:00:00,2023-03-05 07:00:00,60.9,103.32,2.17,26.92,16.08,0.25,1.08,9.5
2023-03-05 07:00:00,2023-03-05 08:00:00,88.0,157.15,2.21,23.32,14.21,1.88,1.08,23.84
2023-03-05 08:00:00,2023-03-05 09:00:00,98.88,168.45,2.06,13.8,9.02,3.76,0.85,50.55
2023-03-05 09:00:00,2023-03-05 10:00:00,76.05,131.82,1.39,11.84,7.43,3.76,1.1,64.31
2023-03-05 10:00:00,2023-03-05 11:00:00,53.4,89.8,2.83,12.81,9.12,12.15,1.53,75.22
2023-03-05 11:00:00,2023-03-05 12:00:00,36.48,92.42,4.82,19.63,14.36,7.7,1.41,82.81
2023-03-05 12:00:00,2023-03-05 13:00:00,26.0,166.5,2.21,7.81,5.96,2.67,0.98,81.32
2023-03-05 13:00:00,2023-03-05 14:00:00,20.68,86.8,3.72,13.64,10.28,9.23,1.78,85.61
2023-03-05 14:00:00,2023-03-05 15:00:00,31.83,66.03,5.12,16.3,12.83,14.08,2.04,92.86
2023-03-05 15:00:00,2023-03-05 16:00:00,31.1,86.8,4.89,19.79,14.5,4.26,1.03,80.34
2023-03-05 16:00:00,2023-03-05 17:00:00,19.82,105.55,12.69,48.77,36.26,2.08,0.75,68.15
2023-03-05 17:00:00,2023-03-05 18:00:00,22.02,84.78,11.35,47.82,34.66,1.71,0.97,51.2
2023-03-05 18:00:00,2023-03-05 19:00:00,32.05,85.08,30.52,62.72,58.29,4.17,1.61,30.42
2023-03-05 19:00:00,2023-03-05 20:00:00,47.13,102.15,33.0,70.94,64.56,6.12,1.56,20.01
2023-03-05 20:00:00,2023-03-05 21:00:00,52.75,109.55,11.84,51.47,37.0,4.62,1.23,24.82
2023-03-05 21:00:00,2023-03-05 22:00:00,54.22,98.77,11.45,53.01,37.5,2.83,1.08,13.59
2023-03-05 22:00:00,2023-03-05 23:00:00,45.52,91.75,5.92,45.75,29.15,4.85,0.86,15.7
2023-03-05 23:00:00,2023-03-06 00:00:00,42.48,91.65,1.42,23.49,13.65,3.58,0.26,46.27
2023-03-06 00:00:00,2023-03-06 01:00:00,37.35,71.52,0.81,9.23,5.57,6.77,0.0,66.6
2023-03-06 01:00:00,2023-03-06 02:00:00,23.6,49.75,0.8,8.03,4.92,3.03,0.0,72.55
2023-03-06 02:00:00,2023-03-06 03:00:00,30.83,50.6,0.84,20.85,11.78,17.22,0.36,61.71
2023-03-06 03:00:00,2023-03-06 04:00:00,53.35,72.6,0.72,18.04,10.18,23.7,0.32,61.21
2023-03-06 04:00:00,2023-03-06 05:00:00,62.35,81.9,0.74,5.8,3.69,12.85,0.0,64.59
2023-03-06 05:00:00,2023-03-06 06:00:00,43.88,61.58,1.11,24.24,13.79,28.29,1.93,33.02
2023-03-06 06:00:00,2023-03-06 07:00:00,70.53,117.2,6.21,42.55,27.68,62.0,4.46,17.92
2023-03-06 07:00:00,2023-03-06 08:00:00,119.43,189.8,2.94,21.12,13.63,16.98,1.42,48.39
2023-03-06 08:00:00,2023-03-06 09:00:00,86.55,140.52,1.85,7.05,5.26,2.31,0.4,69.88
2023-03-06 09:00:00,2023-03-06 10:00:00,47.25,79.17,1.9,9.14,6.4,0.13,0.58,74.85
2023-03-06 10:00:00,2023-03-06 11:00:00,35.7,67.0,1.74,8.08,5.71,,0.38,82.69
2023-03-06 11:00:00,2023-03-06 12:00:00,30.15,94.8,2.51,10.11,7.42,,0.33,83.3
2023-03-06 12:00:00,2023-03-06 13:00:00,23.45,195.23,3.58,14.37,10.55,,0.57,77.03
2023-03-06 13:00:00,2023-03-06 14:00:00,21.47,117.4,4.33,20.27,14.3,,0.78,76.5
2023-03-06 14:00:00,2023-03-06 15:00:00,23.17,73.8,2.56,17.17,11.22,,0.37,80.57
2023-03-06 15:00:00,2023-03-06 16:00:00,22.4,57.95,2.57,12.2,8.58,,0.08,81.48
2023-03-06 16:00:00,2023-03-06 17:00:00,21.4,58.85,1.84,9.13,6.35,,0.18,84.23
2023-03-06 17:00:00,2023-03-06 18:00:00,25.3,63.35,3.72,15.39,11.21,,0.61,71.3
2023-03-06 18:00:00,2023-03-06 19:00:00,29.45,67.08,7.12,39.78,26.95,,1.18,48.34
2023-03-06 19:00:00,2023-03-06 20:00:00,41.3,88.38,9.18,54.88,36.66,0.16,1.51,34.85
2023-03-06 20:00:00,2023-03-06 21:00:00,57.5,106.95,6.18,33.67,22.93,0.04,1.33,39.47
2023-03-06 21:00:00,2023-03-06 22:00:00,60.05,104.62,4.0,31.13,19.81,,1.07,40.82
2023-03-06 22:00:00,2023-03-06 23:00:00,48.7,89.12,1.76,19.63,11.88,,0.64,50.69
2023-03-06 23:00:00,2023-03-07 00:00:00,39.6,71.25,1.0,11.26,6.8,,0.47,58.59
2023-03-07 00:00:00,2023-03-07 01:00:00,37.73,63.73,0.78,7.86,4.82,,0.49,65.11
2023-03-07 01:00:00,2023-03-07 02:00:00,45.52,67.82,0.88,20.66,11.71,3.92,1.18,39.35
2023-03-07 02:00:00,2023-03-07 03:00:00,80.8,124.85,3.96,45.07,27.2,21.12,2.91,2.92
2023-03-07 03:00:00,2023-03-07 04:00:00,131.6,211.27,6.28,49.49,31.43,30.39,3.6,
2023-03-07 04:00:00,2023-03-07 05:00:00,162.5,247.43,1.77,40.02,22.73,24.2,4.36,2.43
2023-03-07 05:00:00,2023-03-07 06:00:00,174.73,238.93,3.79,42.88,25.9,25.16,4.6,
2023-03-07 06:00:00,2023-03-07 07:00:00,190.38,292.95,9.57,45.24,31.84,18.25,4.46,
2023-03-07 07:00:00,2023-03-07 08:00:00,240.55,420.22,3.61,42.78,25.69,31.81,5.22,35.41
2023-03-07 08:00:00,2023-03-07 09:00:00,298.8,479.55,2.52,45.87,26.43,55.01,5.79,82.83
2023-03-07 09:00:00,2023-03-07 10:00:00,275.85,400.15,1.74,10.81,7.17,14.09,1.25,86.11
2023-03-07 10:00:00,2023-03-07 11:00:00,103.82,159.43,1.45,8.73,5.83,4.65,0.89,100.1
