file_name,state,city,agency,station_location,start_month,start_month_num,start_year
AP001,Andhra Pradesh,Tirupati,APPCB,"Tirumala, Tirupati ",July,7,2016
AP002,Andhra Pradesh,Vijayawada,APPCB,"PWD Grounds, Vijayawada ",May,5,2017
AP003,Andhra Pradesh,Visakhapatnam,APPCB,"GVM Corporation, Visakhapatnam ",July,7,2017
AP004,Andhra Pradesh,Rajamahendravaram,APPCB,"Anand Kala Kshetram, Rajamahendravaram ",September,9,2017
AP005,Andhra Pradesh,Amaravati,APPCB,"Secretariat, Amaravati ",November,11,2017
AP006,Andhra Pradesh,Anantapur,APPCB,"Gulzarpet, Anantapur ",August,8,2022
AP007,Andhra Pradesh,Chittoor,APPCB,"Gangineni Cheruvu, Chittoor ",November,11,2022
AP008,Andhra Pradesh,Tirupati,APPCB,"Vaikuntapuram, Tirupati ",November,11,2022
AP009,Andhra Pradesh,Vijayawada,APPCB,"Kanuru, Vijayawada ",January,1,2023
AP010,Andhra Pradesh,Kadapa,APPCB,"Yerramukkapalli, Kadapa ",January,1,2023
AR001,Arunachal Pradesh,Naharlagun,APSPCB,"Naharlagun, Naharlagun ",March,3,2021
AS001,Assam,Guwahati,PCBA,"Railway Colony, Guwahati ",March,3,2019
AS002,Assam,Guwahati,PCBA,"Pan Bazaar, Guwahati ",December,12,2020
AS003,Assam,Guwahati,PCBA,"IITG, Guwahati ",September,9,2022
AS004,Assam,Sivasagar,PCBA,"Girls College, Sivasagar ",September,9,2022
AS005,Assam,Nalbari,PCBA,"Bata Chowk, Nalbari ",November,11,2022
AS006,Assam,Guwahati,PCBA,"LGBI Airport, Guwahati ",December,12,2022
AS007,Assam,Byrnihat,PCBA,"Central Academy for SFS, Byrnihat ",December,12,2022
AS008,Assam,Silchar,PCBA,"Tarapur, Silchar ",January,1,2023
AS009,Assam,Nagaon,PCBA,"Christianpatty, Nagaon ",March,3,2023
BR001,Bihar,Patna,BSPCB,"IGSC Planetarium Complex, Patna ",July,7,2012
BR002,Bihar,Muzaffarpur,BSPCB,"Muzaffarpur Collectorate, Muzaffarpur ",October,10,2015
BR003,Bihar,Gaya,BSPCB,"Collectorate, Gaya ",March,3,2016
BR004,Bihar,Patna,BSPCB,"Samanpura, Patna ",December,12,2019
BR005,Bihar,Patna,BSPCB,"Rajbansi Nagar, Patna ",December,12,2019
BR006,Bihar,Patna,BSPCB,"Muradpur, Patna ",December,12,2019
BR007,Bihar,Hajipur,BSPCB,"Industrial Area, Hajipur ",March,3,2020
BR008,Bihar,Patna,BSPCB,"DRM Office Danapur, Patna ",March,3,2020
BR009,Bihar,Gaya,BSPCB,"SFTI Kusdihra, Gaya ",March,3,2020
BR010,Bihar,Patna,BSPCB,"Govt. High School Shikarpur, Patna ",March,3,2020
BR011,Bihar,Muzaffarpur,BSPCB,"Buddha Colony, Muzaffarpur ",August,8,2020
BR012,Bihar,Rajgir,BSPCB,"Dangi Tola, Rajgir ",July,7,2021
BR013,Bihar,Bihar Sharif,BSPCB,"D M Colony, Bihar Sharif ",July,7,2021
BR014,Bihar,Motihari,BSPCB,"Gandak Colony, Motihari ",July,7,2021
BR015,Bihar,Bettiah,BSPCB,"Kamalnath Nagar, Bettiah ",July,7,2021
BR016,Bihar,Darbhanga,BSPCB,"Town Hall   Lal Bagh, Darbhanga ",July,7,2021
BR017,Bihar,Sasaram,BSPCB,"Dada Peer, Sasaram ",July,7,2021
BR018,Bihar,Munger,BSPCB,"Town Hall, Munger ",July,7,2021
BR019,Bihar,Muzaffarpur,BSPCB,"MIT Daudpur Kothi, Muzaffarpur ",July,7,2021
BR020,Bihar,Chhapra,BSPCB,"Darshan Nagar, Chhapra ",November,11,2021
BR021,Bihar,Bhagalpur,BSPCB,"Mayaganj, Bhagalpur ",November,11,2021
BR022,Bihar,Aurangabad,BSPCB,"Gurdeo Nagar, Aurangabad ",November,11,2021
BR023,Bihar,Bhagalpur,BSPCB,"DM Office_Kachari Chowk, Bhagalpur ",November,11,2021
BR024,Bihar,Manguraha,BSPCB,"Forest Rest House, Manguraha ",November,11,2021
BR025,Bihar,Purnia,BSPCB,"Mariam Nagar, Purnia ",November,11,2021
BR026,Bihar,Gaya,BSPCB,"Kareemganj, Gaya ",November,11,2021
BR027,Bihar,Buxar,BSPCB,"Central Jail, Buxar ",November,11,2021
BR028,Bihar,Saharsa,BSPCB,"Police Line, Saharsa ",November,11,2021
BR029,Bihar,Kishanganj,BSPCB,"SDM Office_Khagra, Kishanganj ",November,11,2021
BR030,Bihar,Araria,BSPCB,"Kharahiya Basti, Araria ",November,11,2021
BR031,Bihar,Siwan,BSPCB,"Chitragupta Nagar, Siwan ",November,11,2021
BR032,Bihar,Katihar,BSPCB,"Mirchaibari, Katihar ",November,11,2021
BR033,Bihar,Arrah,BSPCB,"New DM Office, Arrah ",December,12,2021
BR034,Bihar,Samastipur,BSPCB,"DM Office_Kasipur, Samastipur ",March,3,2022
BR035,Bihar,Begusarai,BSPCB,"DRCC Anandpur, Begusarai ",April,4,2022
CG001,Chhattisgarh,Bilaspur,NTPC,"Mangala, Bilaspur ",September,9,2021
CG002,Chhattisgarh,Bhilai,Bhilai Steel Plant,"Civic Center, Bhilai ",November,11,2021
CG003,Chhattisgarh,Korba,CECB,"Urja Nagar, Korba ",October,10,2022
CG004,Chhattisgarh,Raipur,CECB,"Bhatagaon New ISBT, Raipur ",October,10,2022
CG005,Chhattisgarh,Bhilai,CECB,"Hathkhoj, Bhilai ",October,10,2022
CG006,Chhattisgarh,Bhilai,CECB,"32Bungalows, Bhilai ",October,10,2022
CG007,Chhattisgarh,Raipur,CECB,"Krishak Nagar, Raipur ",October,10,2022
CG008,Chhattisgarh,Korba,CECB,"Rampur, Korba ",October,10,2022
CG009,Chhattisgarh,Raipur,CECB,"Siltara Phase II, Raipur ",October,10,2022
CG010,Chhattisgarh,Raipur,CECB,"AIIMS, Raipur ",October,10,2022
CG011,Chhattisgarh,Tumidih,CECB,"OP Jindal Industrial Park, Tumidih ",January,1,2023
CG012,Chhattisgarh,Kunjemura,CECB,"OP Jindal School, Kunjemura ",January,1,2023
CG013,Chhattisgarh,Milupara,CECB,"Govt. Higher Secondary School, Milupara ",January,1,2023
CG014,Chhattisgarh,Chhal,CECB,"Nawapara SECL Colony, Chhal ",January,1,2023
CH001,Chandigarh,Chandigarh,CPCC,"Sector 25, Chandigarh ",August,8,2019
CH002,Chandigarh,Chandigarh,CPCC,"Sector 22, Chandigarh ",August,8,2021
CH003,Chandigarh,Chandigarh,CPCC,"Sector 53, Chandigarh ",January,1,2022
DL001,Delhi,Delhi,CPCB,"ITO, Delhi ",January,1,2010
DL002,Delhi,Delhi,CPCB,"Shadipur, Delhi ",January,1,2010
DL003,Delhi,Delhi,CPCB,"Sirifort, Delhi ",January,1,2010
DL004,Delhi,Delhi,CPCB,"NSIT Dwarka, Delhi ",January,1,2010
DL005,Delhi,Delhi,CPCB,"IHBAS, Dilshad Garden, Delhi ",January,1,2010
DL006,Delhi,Delhi,CPCB,"DTU, Delhi ",January,1,2010
DL007,Delhi,Delhi,IMD,"Burari Crossing, Delhi ",March,3,2010
DL008,Delhi,Delhi,IMD,"North Campus, DU, Delhi ",March,3,2010
DL009,Delhi,Delhi,IMD,"Pusa, Delhi ",May,5,2010
DL010,Delhi,Delhi,IMD,"CRRI Mathura Road, Delhi ",August,8,2010
DL011,Delhi,Delhi,IMD,"Aya Nagar, Delhi ",September,9,2010
DL012,Delhi,Delhi,DPCC,"Mandir Marg, Delhi ",May,5,2011
DL013,Delhi,Delhi,DPCC,"R K Puram, Delhi ",May,5,2011
DL014,Delhi,Delhi,DPCC,"Punjabi Bagh, Delhi ",June,6,2011
DL015,Delhi,Delhi,DPCC,"Anand Vihar, Delhi ",August,8,2012
DL016,Delhi,Delhi,IMD,"IGI Airport (T3), Delhi ",December,12,2013
DL017,Delhi,Delhi,IMD,"Lodhi Road, Delhi ",January,1,2014
DL018,Delhi,Delhi,CPCB,"East Arjun Nagar, Delhi ",November,11,2017
DL019,Delhi,Delhi,DPCC,"Okhla Phase 2, Delhi ",February,2,2018
DL020,Delhi,Delhi,DPCC,"Wazirpur, Delhi ",February,2,2018
DL021,Delhi,Delhi,DPCC,"Najafgarh, Delhi ",February,2,2018
DL022,Delhi,Delhi,DPCC,"Narela, Delhi ",February,2,2018
DL023,Delhi,Delhi,DPCC,"Sonia Vihar, Delhi ",February,2,2018
DL024,Delhi,Delhi,DPCC,"Rohini, Delhi ",February,2,2018
DL025,Delhi,Delhi,DPCC,"Nehru Nagar, Delhi ",February,2,2018
DL026,Delhi,Delhi,DPCC,"Vivek Vihar, Delhi ",February,2,2018
DL027,Delhi,Delhi,DPCC,"Patparganj, Delhi ",February,2,2018
DL028,Delhi,Delhi,DPCC,"Dr. Karni Singh Shooting Range, Delhi ",March,3,2018
DL029,Delhi,Delhi,DPCC,"Major Dhyan Chand National Stadium, Delhi ",March,3,2018
DL030,Delhi,Delhi,DPCC,"Dwarka Sector 8, Delhi ",March,3,2018
DL031,Delhi,Delhi,DPCC,"Ashok Vihar, Delhi ",March,3,2018
DL032,Delhi,Delhi,DPCC,"Jawaharlal Nehru Stadium, Delhi ",March,3,2018
DL033,Delhi,Delhi,DPCC,"Jahangirpuri, Delhi ",March,3,2018
DL034,Delhi,Delhi,DPCC,"Sri Aurobindo Marg, Delhi ",July,7,2018
DL035,Delhi,Delhi,DPCC,"Bawana, Delhi ",July,7,2018
DL036,Delhi,Delhi,DPCC,"Mundka, Delhi ",July,7,2018
DL037,Delhi,Delhi,DPCC,"Pusa, Delhi ",July,7,2018
DL038,Delhi,Delhi,DPCC,"Alipur, Delhi ",November,11,2018
DL039,Delhi,Delhi,IITM,"Lodhi Road, Delhi ",November,11,2020
DL040,Delhi,Delhi,IITM,"Chandni Chowk, Delhi ",November,11,2020
GJ001,Gujarat,Ahmedabad,GPCB,"Maninagar, Ahmedabad ",November,11,2010
GJ002,Gujarat,Ankleshwar,GPCB,"GIDC, Ankleshwar ",February,2,2019
GJ003,Gujarat,Vapi,GPCB,"Phase 1 GIDC, Vapi ",February,2,2019
GJ004,Gujarat,Vatva,GPCB,"Phase 4 GIDC, Vatva ",February,2,2019
GJ005,Gujarat,Gandhinagar,GPCB,"Sector 10, Gandhinagar ",February,2,2019
GJ006,Gujarat,Nandesari,Nandesari Ind. Association,"GIDC, Nandesari ",January,1,2020
GJ007,Gujarat,Gandhinagar,IITM,"IIPHG Lekawada, Gandhinagar ",June,6,2021
GJ008,Gujarat,Gandhinagar,IITM,"GIFT City, Gandhinagar ",June,6,2021
GJ009,Gujarat,Ahmedabad,IITM,"SVPI Airport Hansol, Ahmedabad ",June,6,2021
GJ010,Gujarat,Ahmedabad,IITM,"Chandkheda, Ahmedabad ",June,6,2021
GJ011,Gujarat,Ahmedabad,IITM,"Rakhial, Ahmedabad ",June,6,2021
GJ012,Gujarat,Ahmedabad,IITM,"SAC ISRO Bopal, Ahmedabad ",June,6,2021
GJ013,Gujarat,Ahmedabad,IITM,"Gyaspur, Ahmedabad ",June,6,2021
GJ014,Gujarat,Ahmedabad,IITM,"Raikhad, Ahmedabad ",June,6,2021
GJ015,Gujarat,Ahmedabad,IITM,"SAC ISRO Satellite, Ahmedabad ",June,6,2021
GJ016,Gujarat,Ahmedabad,IITM,"Sardar Vallabhbhai Patel Stadium, Ahmedabad ",June,6,2021
GJ017,Gujarat,Surat,SMC,"Science Center, Surat ",November,11,2022
HP001,Himachal Pradesh,Baddi,HPPCB,"HIMUDA Complex Phase 1, Baddi ",March,3,2022
HR001,Haryana,Faridabad,HSPCB,"Sector  16A, Faridabad ",September,9,2010
HR002,Haryana,Gurugram,HSPCB,"Vikas Sadan, Gurugram ",December,12,2015
HR003,Haryana,Panchkula,HSPCB,"Sector 6, Panchkula ",December,12,2015
HR004,Haryana,Rohtak,HSPCB,"MD University, Rohtak ",January,1,2016
HR005,Haryana,Gurugram,IMD,"NISE Gwal Pahari, Gurugram ",October,10,2016
HR006,Haryana,Manesar,HSPCB,"Sector 2 IMT, Manesar ",May,5,2018
HR007,Haryana,Sonipat,HSPCB,"Murthal, Sonipat ",December,12,2018
HR008,Haryana,Bhiwani,HSPCB,"H.B. Colony, Bhiwani ",January,1,2019
HR009,Haryana,Jind,HSPCB,"Police Lines, Jind ",January,1,2019
HR010,Haryana,Dharuhera,HSPCB,"Municipal Corporation Office, Dharuhera ",January,1,2019
HR011,Haryana,Bahadurgarh,HSPCB,"Arya Nagar, Bahadurgarh ",January,1,2019
HR012,Haryana,Yamuna Nagar,HSPCB,"Gobind Pura, Yamuna Nagar ",January,1,2019
HR013,Haryana,Ballabgarh,HSPCB,"Nathu Colony, Ballabgarh ",January,1,2019
HR014,Haryana,Ambala,HSPCB,"Patti Mehar, Ambala ",January,1,2019
HR015,Haryana,Kurukshetra,HSPCB,"Sector 7, Kurukshetra ",January,1,2019
HR016,Haryana,Panipat,HSPCB,"Sector 18, Panipat ",January,1,2019
HR017,Haryana,Fatehabad,HSPCB,"Huda Sector, Fatehabad ",January,1,2019
HR018,Haryana,Mandikhera,HSPCB,"General Hospital, Mandikhera ",January,1,2019
HR019,Haryana,Karnal,HSPCB,"Sector 12, Karnal ",January,1,2019
HR020,Haryana,Sirsa,HSPCB,"F Block, Sirsa ",January,1,2019
HR021,Haryana,Hisar,HSPCB,"Urban Estate II, Hisar ",January,1,2019
HR022,Haryana,Narnaul,HSPCB,"Shastri Nagar, Narnaul ",January,1,2019
HR023,Haryana,Kaithal,HSPCB,"Rishi Nagar, Kaithal ",February,2,2019
HR024,Haryana,Palwal,HSPCB,"Shyam Nagar, Palwal ",February,2,2019
HR025,Haryana,Faridabad,HSPCB,"Sector 11, Faridabad ",March,3,2020
HR026,Haryana,Faridabad,HSPCB,"New Industrial Town, Faridabad ",March,3,2020
HR027,Haryana,Gurugram,HSPCB,"Teri Gram, Gurugram ",March,3,2020
HR028,Haryana,Gurugram,HSPCB,"Sector 51, Gurugram ",March,3,2020
HR029,Haryana,Charkhi Dadri,HSPCB,"Mini Secretariat, Charkhi Dadri ",March,3,2020
HR030,Haryana,Faridabad,HSPCB,"Sector 30, Faridabad ",March,3,2020
JH001,Jharkhand,Jorapokhar,JSPCB,"Tata Stadium, Jorapokhar ",May,5,2017
JH002,Jharkhand,Dhanbad,JSPCB,"Sardar Patel Nagar, Dhanbad ",February,2,2023
JK001,Jammu and Kashmir,Srinagar,JKSPCB,"Rajbagh, Srinagar ",February,2,2021
KA001,Karnataka,Bengaluru,CPCB,"BTM Layout, Bengaluru ",January,1,2010
KA002,Karnataka,Bengaluru,CPCB,"BWSSB Kadabesanahalli, Bengaluru ",January,1,2010
KA003,Karnataka,Bengaluru,CPCB,"Peenya, Bengaluru ",January,1,2010
KA004,Karnataka,Hubballi,KSPCB,"Deshpande Nagar, Hubballi ",January,1,2015
KA005,Karnataka,Bengaluru,KSPCB,"City Railway Station, Bengaluru ",December,12,2015
KA006,Karnataka,Bengaluru,KSPCB,"Sanegurava Halli, Bengaluru ",December,12,2015
KA007,Karnataka,Bengaluru,KSPCB,"Silk Board, Bengaluru ",June,6,2018
KA008,Karnataka,Bengaluru,KSPCB,"Hebbal, Bengaluru ",June,6,2018
KA009,Karnataka,Kolar,KSPCB,"Tamaka Ind. Area, Kolar ",June,6,2018
KA010,Karnataka,Bengaluru,KSPCB,"Bapuji Nagar, Bengaluru ",June,6,2018
KA011,Karnataka,Chikkaballapur,KSPCB,"Chikkaballapur Rural, Chikkaballapur ",June,6,2018
KA012,Karnataka,Bengaluru,KSPCB,"Jayanagar 5th Block, Bengaluru ",June,6,2018
KA013,Karnataka,Kalaburagi,KSPCB,"Lal Bahadur Shastri Nagar, Kalaburagi ",July,7,2018
KA014,Karnataka,Bengaluru,KSPCB,"Hombegowda Nagar, Bengaluru ",July,7,2018
KA015,Karnataka,Mysuru,KSPCB,"Hebbal 1st Stage, Mysuru ",July,7,2019
KA016,Karnataka,Chamarajanagar,KSPCB,"Urban, Chamarajanagar ",July,7,2019
KA017,Karnataka,Ramanagara,KSPCB,"Vijay Nagar, Ramanagara ",September,9,2019
KA018,Karnataka,Yadgir,KSPCB,"Collector Office, Yadgir ",September,9,2019
KA019,Karnataka,Chikkamagaluru,KSPCB,"Kalyana Nagara, Chikkamagaluru ",January,1,2020
KA020,Karnataka,Shivamogga,KSPCB,"Vinoba Nagara, Shivamogga ",January,1,2020
KA021,Karnataka,Vijayapura,KSPCB,"Ibrahimpur, Vijayapura ",January,1,2020
KA022,Karnataka,Bagalkot,KSPCB,"Vidayagiri, Bagalkot ",January,1,2020
KA023,Karnataka,Madikeri,KSPCB,"Stuart Hill, Madikeri ",October,10,2020
KA024,Karnataka,Koppal,KSPCB,"Diwator Nagar, Koppal ",December,12,2020
KA025,Karnataka,Raichur,KSPCB,"Haji Colony, Raichur ",December,12,2020
KA026,Karnataka,Mangalore,KSPCB,"Kadri, Mangalore ",January,1,2021
KA027,Karnataka,Bidar,KSPCB,"Naubad, Bidar ",January,1,2021
KA028,Karnataka,Gadag,KSPCB,"Panchal Nagar, Gadag ",January,1,2021
KA029,Karnataka,Davanagere,KSPCB,"Devaraj Urs Badavane, Davanagere ",January,1,2021
KA030,Karnataka,Udupi,KSPCB,"Brahmagiri, Udupi ",February,2,2021
KA031,Karnataka,Hassan,KSPCB,"B.Katihalli, Hassan ",March,3,2021
KA032,Karnataka,Haveri,KSPCB,"Ashwini Nagar, Haveri ",April,4,2022
KA033,Karnataka,Belgaum,KSPCB,"Ramteerth Nagar, Belgaum ",August,8,2022
KA034,Karnataka,Dharwad,KSPCB,"Kalabhavan, Dharwad ",August,8,2022
KA035,Karnataka,Tumakuru,KSPCB,"Thimmalapura, Tumakuru ",December,12,2022
KA036,Karnataka,Bengaluru,KSPCB,"RVCE Mailasandra, Bengaluru ",December,12,2022
KA037,Karnataka,Kalaburagi,KSPCB,"Mahatma Basaveswar Colony, Kalaburgi ",December,12,2022
KA038,Karnataka,Hubballi,KSPCB,"Lingaraj Nagar, Hubballi ",December,12,2022
KA039,Karnataka,Bengaluru,KSPCB,"Shivapura_Peenya, Bengaluru ",February,2,2023
KL001,Kerala,Thiruvananthapuram,Kerala PCB,"Plammoodu, Thiruvananthapuram ",June,6,2017
KL002,Kerala,Eloor,Kerala PCB,"Udyogamandal, Eloor ",May,5,2019
KL003,Kerala,Kochi,Kerala PCB,"Vyttila, Kochi ",January,1,2020
KL004,Kerala,Kozhikode,Kerala PCB,"Palayam, Kozhikode ",January,1,2020
KL005,Kerala,Ernakulam,Kerala PCB,"Kacheripady, Ernakulam ",January,1,2020
KL006,Kerala,Thiruvananthapuram,Kerala PCB,"Kariavattom, Thiruvananthapuram ",February,2,2020
KL007,Kerala,Kollam,Kerala PCB,"Polayathode, Kollam ",February,2,2020
KL008,Kerala,Kannur,Kerala PCB,"Thavakkara, Kannur ",February,2,2020
KL009,Kerala,Thrissur,Kerala PCB,"Corporation Ground, Thrissur ",October,10,2020
MH001,Maharashtra,Pune,MPCB,"Karve Road, Pune ",January,1,2010
MH002,Maharashtra,Mumbai,MPCB,"Bandra, Mumbai ",January,1,2010
MH003,Maharashtra,Navi Mumbai,MPCB,"Airoli, Navi Mumbai ",January,1,2010
MH004,Maharashtra,Chandrapur,MPCB,"Chauhan Colony, Chandrapur ",July,7,2015
MH005,Maharashtra,Solapur,MPCB,"Solapur, Solapur ",December,12,2015
MH006,Maharashtra,Nagpur,MPCB,"Opp GPO Civil Lines, Nagpur ",April,4,2016
MH007,Maharashtra,Chandrapur,MPCB,"MIDC Khutala, Chandrapur ",August,8,2016
MH008,Maharashtra,Nashik,MPCB,"Gangapur Road, Nashik ",September,9,2016
MH009,Maharashtra,Thane,MPCB,"Pimpleshwar Mandir, Thane ",September,9,2016
MH010,Maharashtra,Aurangabad,MPCB,"More Chowk Waluj, Aurangabad ",September,9,2017
MH011,Maharashtra,Navi Mumbai,MPCB,"Nerul, Navi Mumbai ",March,3,2019
MH012,Maharashtra,Kalyan,MPCB,"Khadakpada, Kalyan ",June,6,2019
MH013,Maharashtra,Mumbai,MPCB,"Colaba, Mumbai ",June,6,2019
MH014,Maharashtra,Mumbai,MPCB,"Worli, Mumbai ",June,6,2019
MH015,Maharashtra,Mumbai,MPCB,"Sion, Mumbai ",June,6,2019
MH016,Maharashtra,Mumbai,MPCB,"Vile Parle West, Mumbai ",June,6,2019
MH017,Maharashtra,Mumbai,MPCB,"Borivali East, Mumbai ",June,6,2019
MH018,Maharashtra,Mumbai,MPCB,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai ",June,6,2019
MH019,Maharashtra,Mumbai,MPCB,"Kurla, Mumbai ",June,6,2019
MH020,Maharashtra,Mumbai,MPCB,"Vasai West, Mumbai ",June,6,2019
MH021,Maharashtra,Mumbai,MPCB,"Powai, Mumbai ",June,6,2019
MH022,Maharashtra,Mumbai,IITM,"Navy Nagar Colaba, Mumbai ",November,11,2020
